#doc name topic proportion ...
0	org.apache.hadoop.chukwa.ChukwaArchive	2	0.3511409382833478	1	0.29691232275759116	0	0.2641078332058057	3	0.0874144315666202	4	4.244741866351247E-4	
1	org.apache.hadoop.chukwa.PARSEDOUBLE	1	0.5361984635322586	3	0.3755941391550032	0	0.08589428882280448	4	0.0012043143212456667	2	0.0011087941686880609	
2	org.apache.hadoop.chukwa.RecordMerger	1	0.7045651246191476	2	0.2925953568005362	3	0.001130401236755763	4	0.001007266069075746	0	7.018512744845203E-4	
3	org.apache.hadoop.chukwa.TimePartition	1	0.6483596260881679	3	0.3208784011992988	4	0.02867180257520301	2	0.0011897496220018926	0	9.004205153284295E-4	
4	org.apache.hadoop.chukwa.pig.ChukwaLoader	2	0.5668919721352131	1	0.2114129021127044	0	0.165656760127913	3	0.055604792891812325	4	4.3357273235713676E-4	
5	org.apache.hadoop.chukwa.pig.ChukwaStorer	2	0.7420194887697773	0	0.22562820691918098	1	0.03149514907608613	3	4.532647971189656E-4	4	4.0389043783670326E-4	
6	org.apache.hadoop.chukwa.tools.PigMover	0	0.9694091292077638	3	0.029110357177496587	4	6.692426144288324E-4	2	6.161616574888104E-4	1	1.9510934282188362E-4	
7	org.apache.hadoop.chukwa.PigTest	3	0.5543056089938296	0	0.4116167552101043	2	0.032632818838345824	4	0.0011186798040365132	1	3.2613715368373034E-4	
8	org.apache.hadoop.chukwa.TestArchiveReader	0	0.6324258589565289	3	0.15612336472790994	2	0.11482756617650562	1	0.09629888200378459	4	3.2432813527103756E-4	
9	org.apache.hadoop.chukwa.TestLocalChukwaStorage	0	0.5749908613550251	2	0.36402932761547435	3	0.03850487529964624	1	0.022190368803369966	4	2.8456692648443793E-4	
10	org.apache.hadoop.chukwa.TestParseDouble	3	0.6352578395534951	1	0.36112891170520256	4	0.0013804337993412457	2	0.0012709447359110571	0	9.618702060500998E-4	
11	org.apache.hadoop.chukwa.TestRecordMerger	3	0.47120315894199405	1	0.34117167110889546	2	0.18541230981561682	4	0.001304146222889275	0	9.087139106044677E-4	
12	org.apache.hadoop.chukwa.TestTimePartition	1	0.7437389901352164	3	0.10001003430517562	0	0.08315577305178855	4	0.0723772356576949	2	7.179668501244711E-4	
13	org.apache.hadoop.chukwa.util.GenerateTestFile	2	0.7279219792249848	0	0.2715765717205151	3	2.3313997805732558E-4	4	2.077439245521161E-4	1	6.056515189068646E-5	
14	edu.berkeley.chukwa_xtrace.CausalGraph	2	0.6640489020165715	1	0.12153439885965915	0	0.1195606189344105	4	0.09033549093983714	3	0.004520589249521738	
15	edu.berkeley.chukwa_xtrace.XtrAdaptor	4	0.9396284600366623	2	0.05920223331151936	3	6.217510116258582E-4	0	3.860370333405189E-4	1	1.6151860685192703E-4	
16	edu.berkeley.chukwa_xtrace.XtrExtract	2	0.8132490823156276	0	0.09865781915125707	4	0.0815259117978078	3	0.006502644328043701	1	6.454240726374778E-5	
17	edu.berkeley.chukwa_xtrace.TestXtrAdaptor	4	0.9606025818785163	1	0.026734147504133374	3	0.011448758034362351	2	6.913149607868799E-4	0	5.231976222010392E-4	
18	org.apache.hadoop.chukwa.ChukwaArchiveKey	2	0.9994846151721092	3	1.8594293311124913E-4	4	1.656880771334908E-4	0	1.1544952388770001E-4	1	4.830429375829093E-5	
19	org.apache.hadoop.chukwa.Chunk	4	0.7135412525700213	2	0.2302964233270842	3	0.055317131384094914	0	5.958767763795726E-4	1	2.493159424198274E-4	
20	org.apache.hadoop.chukwa.ChunkBuilder	4	0.5192210790237197	2	0.39484361660523987	3	0.08448621999101424	0	0.0010216317649997654	1	4.274526150263975E-4	
21	org.apache.hadoop.chukwa.ChunkImpl	4	0.6014177870768636	2	0.38840914681262917	3	0.009841904487775333	0	2.3347517770211807E-4	1	9.768644502997236E-5	
22	org.apache.hadoop.chukwa.analysis.salsa.fsm.DataNodeClientTraceMapper	2	0.993236932166025	4	0.003261784120222688	1	0.0031090012766116968	3	2.4201716159803944E-4	0	1.5026527554251997E-4	
23	org.apache.hadoop.chukwa.analysis.salsa.fsm.FSMBuilder	2	0.9328799602867989	0	0.06485651841268582	1	0.0019730688796647656	3	1.5359161589483333E-4	4	1.368608049557602E-4	
24	org.apache.hadoop.chukwa.analysis.salsa.fsm.FSMIntermedEntry	2	0.9251649719524001	1	0.07258040473095172	0	0.0017704020248290478	3	2.560568455355928E-4	4	2.2816444628350865E-4	
25	org.apache.hadoop.chukwa.analysis.salsa.fsm.FSMIntermedEntryPartitioner	2	0.9714805403833454	4	0.013340909087357328	0	0.012839191175861788	3	0.0018569583324087302	1	4.824010210267613E-4	
26	org.apache.hadoop.chukwa.analysis.salsa.fsm.FSMType	2	0.9783623910478355	3	0.017408555906342226	4	0.002126941589280468	0	0.0014820281463073586	1	6.200833102345348E-4	
27	org.apache.hadoop.chukwa.analysis.salsa.fsm.HDFSState	2	0.7493138764073117	3	0.20351789101609294	0	0.030165816021323937	4	0.016409072194052812	1	5.933443612185599E-4	
28	org.apache.hadoop.chukwa.analysis.salsa.fsm.JobHistoryTaskDataMapper	2	0.9974879481693143	0	0.0022625042849268497	3	1.1602277204507707E-4	4	1.0338435391005008E-4	1	3.0140419803765988E-5	
29	org.apache.hadoop.chukwa.analysis.salsa.fsm.MapRedState	2	0.8244705061993947	3	0.17185274703109485	4	0.0018491670670930725	0	0.0012884780919553427	1	5.391016104620246E-4	
