#doc name topic proportion ...
0	org.apache.hadoop.chukwa.conf.ChukwaConfiguration	2	0.6913792247179346	0	0.2009850736258466	4	0.10669992450852156	1	3.8734213816194146E-4	3	2.7820497183512257E-4	5	2.3522975714394308E-4	6	3.500028055625042E-5	
1	org.apache.hadoop.chukwa.datacollection.ChunkQueue	4	0.9846503324621997	3	0.012877302129994878	1	8.065336639287712E-4	2	7.39479598284629E-4	5	4.898013905604567E-4	0	3.636722795589306E-4	6	7.287847547267254E-5	
2	org.apache.hadoop.chukwa.datacollection.ChunkReceiver	4	0.9953456491589617	1	0.0012301179849094873	2	0.0011278477192043159	3	8.835210673684641E-4	5	7.470407330887363E-4	0	5.546697325928107E-4	6	1.1115360387441529E-4	
3	org.apache.hadoop.chukwa.datacollection.DataFactory	4	0.7259684719234849	2	0.2730639611758684	1	3.375075549258944E-4	3	2.4241173515968724E-4	5	2.049656165895169E-4	0	1.5218477214002678E-4	6	3.0497221831624318E-5	
4	org.apache.hadoop.chukwa.datacollection.adaptor.AbstractAdaptor	4	0.9975263483011569	1	6.537718249168198E-4	2	5.994181620446218E-4	3	4.69565673904393E-4	5	3.9703035753481673E-4	0	2.947907824711697E-4	6	5.907489797119323E-5	
5	org.apache.hadoop.chukwa.datacollection.adaptor.AbstractWrapper	4	0.9982923748652521	1	4.5131543828105027E-4	2	4.1379371243355353E-4	3	3.241532134653569E-4	5	2.7408022645286975E-4	0	2.035016287358621E-4	6	4.0780915379260285E-5	
6	org.apache.hadoop.chukwa.datacollection.adaptor.Adaptor	4	0.998913155601138	1	2.872466832646581E-4	2	2.6336540115937503E-4	3	2.06312320695576E-4	5	1.7444259451188131E-4	0	1.295217555950969E-4	6	2.5955643635426367E-5	
7	org.apache.hadoop.chukwa.datacollection.adaptor.AdaptorException	4	0.601787604508519	3	0.39357098430539583	1	0.0015141185675445917	2	0.0013882368959394792	5	9.195119968634607E-4	0	6.827277962573353E-4	6	1.3681592948023782E-4	
8	org.apache.hadoop.chukwa.datacollection.adaptor.AdaptorShutdownPolicy	4	0.9785961634926688	1	0.018273207012161383	2	0.0010311428819688496	3	8.077654848025392E-4	5	6.829873584429323E-4	0	5.071107888661973E-4	6	1.0162298108928061E-4	
9	org.apache.hadoop.chukwa.datacollection.adaptor.DirTailingAdaptor	2	0.5520518436457859	4	0.44729149348994934	1	2.290577298381006E-4	3	1.6451863352802453E-4	5	1.3910491230683628E-4	0	1.0328390554095024E-4	6	2.069768305084205E-5	
10	org.apache.hadoop.chukwa.datacollection.adaptor.ExecAdaptor	4	0.7318706785433925	3	0.13236926469069812	5	0.12353249345080658	1	0.01194656498782978	2	1.7668976789976597E-4	0	8.689512302422355E-5	6	1.7413436349056552E-5	
11	org.apache.hadoop.chukwa.datacollection.adaptor.FileAdaptor	4	0.9878515019519223	1	0.009849203325833644	2	0.0020612507993039565	3	9.158603994374239E-5	5	7.743845047639856E-5	0	5.749721898102109E-5	6	1.1522213538896402E-5	
12	org.apache.hadoop.chukwa.datacollection.adaptor.MemBuffered	4	0.8933275128527332	6	0.0968085262025314	3	0.004606422492874633	5	0.004574412565309846	1	2.8851033960974247E-4	2	2.6452399890702634E-4	0	1.3009154803420893E-4	
13	org.apache.hadoop.chukwa.datacollection.adaptor.NotifyOnCommitAdaptor	4	0.9938447642564399	1	0.0016267931765586525	2	0.0014915438976642748	3	0.0011684294200824913	5	9.879383783577076E-4	0	7.335336506700948E-4	6	1.4699722022689336E-4	
14	org.apache.hadoop.chukwa.datacollection.adaptor.UDPAdaptor	4	0.9984989666738873	1	3.9671441914506343E-4	2	3.637321446374489E-4	3	2.849365275065847E-4	5	2.409214678109164E-4	0	1.7888160605919083E-4	6	3.584716095355988E-5	
15	org.apache.hadoop.chukwa.datacollection.adaptor.WriteaheadBuffered	4	0.9329459017643985	2	0.0662781968006924	1	2.706506350978178E-4	3	1.9439235987040032E-4	5	1.6436394828361355E-4	0	1.2203846886022647E-4	6	2.4456022797061488E-5	
16	org.apache.hadoop.chukwa.datacollection.adaptor.filetailer.CharFileTailingAdaptorUTF8	4	0.8752971420015145	1	0.12338296708346251	2	4.3473560959581605E-4	3	3.4055844886945574E-4	5	2.879512925037037E-4	0	2.138007465167387E-4	6	4.284481753725293E-5	
17	org.apache.hadoop.chukwa.datacollection.adaptor.filetailer.CharFileTailingAdaptorUTF8NewLineEscaped	4	0.8932520505946481	1	0.10573549685664083	2	3.334739037453848E-4	3	2.6123315617866384E-4	5	2.2087963231034893E-4	0	1.6400075814102465E-4	6	3.2865098335721806E-5	
18	org.apache.hadoop.chukwa.datacollection.adaptor.filetailer.FileTailer	4	0.9988421577805072	1	3.060109962763359E-4	2	2.805696757836615E-4	3	2.1978961804745026E-4	5	1.8583801049645594E-4	0	1.3798272975217414E-4	6	2.7651189136802838E-5	
19	org.apache.hadoop.chukwa.datacollection.adaptor.filetailer.FileTailingAdaptor	4	0.9776881536585695	1	0.02191438551385874	2	1.3091261800361493E-4	3	1.0255290144324942E-4	5	8.671122569009665E-5	0	6.438215513023134E-5	6	1.2901927304514406E-5	
20	org.apache.hadoop.chukwa.datacollection.adaptor.filetailer.LWFTAdaptor	4	0.9646568863679655	1	0.025305500767529826	2	0.009800491031446515	3	9.123127112747172E-5	5	7.71384839375437E-5	0	5.727449704294754E-5	6	1.147758095012498E-5	
