                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 3 7 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa_me/chukwa-0._RELAX_java_2017-03-07_17_53_45_298/chukwa-0.4.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
      14       4 |       4        0 |       0       0       4 |       4        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/util/debug.js
     247      40 |      12        0 |       0       0     139 |     139      195 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/util/data-structure.js
     395      27 |       7        5 |       0       0     171 |     171      361 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/ext/japanese-eras.js
      27       5 |       4        0 |       0       0      10 |      10       18 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/de/labellers.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/de/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/en/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/en/timeline.js
      10       1 |       5        1 |       0       0       0 |       0        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/ru/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/ru/timeline.js
      27       5 |       3        1 |       0       0      10 |      10       19 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/zh/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/zh/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/it/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/it/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/es/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/es/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/fr/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/fr/timeline.js
      12       2 |       3        1 |       0       0       2 |       2        7 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/se/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/se/timeline.js
      30       6 |       4        0 |       0       0      11 |      11       20 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/cs/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/cs/timeline.js
      26       5 |       4        0 |       0       0      10 |      10       17 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/vi/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/l10n/vi/timeline.js
     127       9 |       4        7 |       0       0      35 |      35      114 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/themes.js
     566     102 |      24       14 |       0       0     315 |     315      440 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/ether-painters.js
     128      22 |       4        2 |       0       0      76 |      76      102 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/layouts.js
     184      31 |       8        2 |       0       0     121 |     121      145 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/scripts/decorators.js
     172      22 |       0        0 |       0      28      95 |     123      150 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/bundle.css
     123      18 |       0        0 |       0       0      86 |      86      105 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/chukwa/lib/timeline/search.js
      60       3 |       0        0 |       0      10      55 |      65       57 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/conf/database_upgrade_0.1.1-0.1.2.sql
      94      19 |      62        0 |       0       0      13 |      13       13 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/conf/chukwa-env.sh
     130       0 |       0        0 |       0      11     461 |     472      130 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/conf/aggregator.sql
     771      33 |       0        0 |       0       0     118 |     118      738 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/conf/database_create_tables.sql
      49       7 |      16        0 |       0       7      12 |      19       26 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/docs/changes/ChangesSimpleStyle.css
     170      17 |      23        0 |       0      31      74 |     105      130 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/docs/changes/ChangesFancyStyle.css
     284      30 |      39       24 |       2       0     141 |     143      215 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/docs/changes/changes2html.pl
     694      85 |       1       20 |       0     134     533 |     667      608 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/default.css
     729     109 |       5        5 |       0      98     308 |     406      615 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/flexigrid/flexigrid.css
     311      53 |       8        0 |       0      48     154 |     202      250 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/timeline.css
      86      14 |       0        0 |       0      15      42 |      57       72 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/menu.css
     166      22 |      83        0 |       0      12      79 |      91       61 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/tab.css
     385      49 |       6        0 |       0      45     238 |     283      330 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/iui.css
      47       9 |       0        0 |       0      10      18 |      28       38 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/iframe.css
     175       3 |      12        0 |       0      37      86 |     123      160 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/css/timeframe.css
       1       0 |       0        0 |       0       0     397 |     397        1 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/excanvas.pack.js
     133      16 |      22        0 |       0       0      57 |      57       95 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/json.js
      43       6 |       1        0 |       0       0      11 |      11       36 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/org/tool-man/events.js
      34       5 |       3        0 |       0       0       4 |       4       26 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/org/tool-man/cookies.js
      17       1 |       2        0 |       0       0       3 |       3       14 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/org/tool-man/css.js
     154      26 |      17        0 |       0       0       9 |       9      111 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/org/tool-man/coordinates.js
      87      11 |       7        0 |       0       0       8 |       8       69 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/org/tool-man/dragsort.js
     170      30 |      24        0 |       0       0      40 |      40      116 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/org/tool-man/core.js
     235      40 |      11        0 |       0       0      22 |      22      184 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/org/tool-man/drag.js
      32       1 |      17        0 |       0       0       9 |       9       14 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/host_selector.js
      10       1 |       8        0 |       0       0      14 |      14        1 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/flexigrid.pack.js
     254      31 |      65       10 |       0       0     117 |     117      158 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/behaviour.js
     128       6 |      17        0 |       0       0      71 |      71      105 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/time.js
    1567     313 |      82        2 |       0       5     902 |     907     1172 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/processing.js
    1451     281 |      44       64 |       0       0     880 |     880     1126 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/flexigrid.js
     383      55 |       6        0 |       0       0     210 |     210      322 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/iui.js
      20       0 |      17        1 |       0       2     241 |     243        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/jquery-1.3.2.min.js
     433     104 |      74        5 |       0       0     205 |     205      255 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/gsv.js
      12       0 |       6        0 |       0       0     571 |     571        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/treeview-min.js
      13       0 |       7        0 |       0       0     804 |     804        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/yahoo-dom-event.js
     460      52 |      12        3 |       0       0     399 |     399      396 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/timeframe.js
     480      59 |     241        0 |       0       0     154 |     154      180 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/ajaxtree.js
     314      15 |      41        1 |       0       0     187 |     187      258 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/flot.extend.js
      58       5 |      24        0 |       0       0      15 |      15       29 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/scriptaculous.js
     275      25 |      15        2 |       0       0     191 |     191      235 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/slider.js
      55       6 |       7        0 |       0       0      23 |      23       42 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/sound.js
    3279     360 |     231       50 |       0       0    2028 |    2028     2688 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/workspace.js
    1122      81 |      25        4 |       0       0     749 |     749     1016 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/effects.js
     974     162 |      27       14 |       0       0     599 |     599      785 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/dragdrop.js
    4170     643 |      71        4 |       0       0    1928 |    1928     3456 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/prototype.js
     965      74 |      87       13 |       0       0     623 |     623      804 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/controls.js
     136      13 |      14        4 |       0       0      63 |      63      109 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/builder.js
     177      12 |      46        1 |       0       0      81 |      81      119 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/workspace/custom_edits.js
     206      15 |      17        3 |       0       0     135 |     135      174 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/activity.js
     236      45 |      15       10 |       0       0     156 |     156      176 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/canvas2image.js
     113      14 |      14        0 |       0       0      67 |      67       85 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/base64.js
    2151     315 |     165       49 |       0       0    1214 |    1214     1671 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/jquery.flot.pack.js
      31       0 |       9        2 |       0       0     268 |     268       22 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/js/jquery-1.2.6.min.js
      63       7 |       0        0 |       0       8      40 |      48       56 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/styles/ethers.css
      65       8 |       0        0 |       0      11      35 |      46       57 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/styles/timeline.css
      45       7 |       0        0 |       0       9      20 |      29       38 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/styles/events.css
     244      22 |      28       10 |       0       0     113 |     113      194 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/timeline-api.js
      92      10 |      15        1 |       0       0      40 |      40       67 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/geochrono/geochrono-api.js
     532      14 |       4        0 |       0       0     176 |     176      514 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/geochrono/scripts/geochrono.js
      52       5 |       4        0 |       0       0      33 |      33       43 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/geochrono/scripts/labellers.js
      86      17 |       4        0 |       0       0      46 |      46       65 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/geochrono/scripts/units.js
      10       1 |       4        0 |       0       0       5 |       5        5 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/geochrono/scripts/l10n/en/labellers.js
     204      30 |       7        4 |       0       0     120 |     120      167 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/geochrono/scripts/ether-painters.js
      92      10 |      15        1 |       0       0      40 |      40       67 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/planning/planning-api.js
      33       6 |       4        0 |       0       0      31 |      31       23 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/planning/scripts/labellers.js
      66      13 |       4        0 |       0       0      33 |      33       49 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/planning/scripts/units.js
      12       1 |       4        0 |       0       0       1 |       1        7 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/planning/scripts/l10n/en/labellers.js
      54       8 |       4        0 |       0       0      17 |      17       42 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/planning/scripts/planning.js
     176      27 |       8        3 |       0       0     105 |     105      141 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/ext/planning/scripts/ether-painters.js
    4515     835 |      18        0 |       0       0    2650 |    2650     3662 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/bundle.js
     334      61 |       7        4 |       0       0     207 |     207      266 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/painters.js
     426      66 |      10        0 |       0       0     248 |     248      350 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/sources.js
      91       9 |       4        2 |       0       0      48 |      48       78 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/labellers.js
     250      35 |       8        1 |       0       0     149 |     149      207 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/ethers.js
      68      14 |       4        0 |       0       0      32 |      32       50 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/units.js
     895     165 |      32       11 |       0       0     487 |     487      698 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/timeline.js
      76      12 |       4        0 |       0       0      37 |      37       60 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/dom.js
     274       4 |       4        0 |       0       0     265 |     265      266 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/html.js
     327      40 |      18        5 |       0       0     201 |     201      269 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/date-time.js
      90       8 |      11        0 |       0       0      40 |      40       71 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/platform.js
     133      13 |      38        2 |       0       0      45 |      45       82 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/xmlhttp.js
     322      54 |       5       10 |       0       0     201 |     201      263 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/graphics.js
      14       4 |       4        0 |       0       0       4 |       4        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/debug.js
     247      40 |      12        0 |       0       0     139 |     139      195 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/util/data-structure.js
     395      27 |       7        5 |       0       0     171 |     171      361 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/ext/japanese-eras.js
      27       5 |       4        0 |       0       0      10 |      10       18 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/de/labellers.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/de/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/en/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/en/timeline.js
      10       1 |       5        1 |       0       0       0 |       0        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/ru/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/ru/timeline.js
      27       5 |       3        1 |       0       0      10 |      10       19 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/zh/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/zh/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/it/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/it/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/es/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/es/timeline.js
       8       1 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/fr/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/fr/timeline.js
      12       2 |       3        1 |       0       0       2 |       2        7 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/se/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/se/timeline.js
      30       6 |       4        0 |       0       0      11 |      11       20 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/cs/labellers.js
       9       2 |       4        0 |       0       0       1 |       1        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/cs/timeline.js
      26       5 |       4        0 |       0       0      10 |      10       17 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/vi/labellers.js
       9       2 |       3        1 |       0       0       1 |       1        4 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/l10n/vi/timeline.js
     127       9 |       4        7 |       0       0      35 |      35      114 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/themes.js
     566     102 |      24       14 |       0       0     315 |     315      440 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/ether-painters.js
     128      22 |       4        2 |       0       0      76 |      76      102 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/layouts.js
     184      31 |       8        2 |       0       0     121 |     121      145 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/scripts/decorators.js
     172      22 |       0        0 |       0      28      95 |     123      150 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/bundle.css
     123      18 |       0        0 |       0       0      86 |      86      105 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/web/hicc/lib/timeline/search.js
      70      12 |      18        0 |      15       1      17 |      33       40 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/dataloader/TestSocketDataLoader.java
     158       8 |      17        2 |      20      15      65 |     100      133 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/dataloader/TestDatabaseMetricDataLoader.java
      81       6 |      17        0 |       5      15      31 |      51       58 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/hicc/TestChart.java
      61       8 |      17        0 |       5       6      19 |      30       36 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/hicc/AreaCalculatorTest.java
     120      19 |      19        0 |      13       6      54 |      73       82 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/extraction/demux/processor/mapper/TestJobLogEntry.java
      59       9 |      17        0 |       5       2      13 |      20       33 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/extraction/demux/processor/mapper/TestLog4JMetricsContextChukwaRecord.java
      73      11 |      18        0 |       9       3      20 |      32       44 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/extraction/demux/processor/mapper/TestAbtractProcessor.java
      49       7 |      17        0 |       5       1      13 |      19       25 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/extraction/demux/processor/mapper/ChukwaTestOutputCollector.java
      78      11 |      23        0 |       9       7      17 |      33       44 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/extraction/demux/processor/mapper/TestHadoopLogProcessor.java
      53       8 |      19        0 |       9       2       7 |      18       26 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/src/test/org/apache/hadoop/chukwa/extraction/demux/processor/mapper/TestPsOutput.java
