                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 3 7 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa_me/chukwa-0._RELAX_java_2017-03-07_17_53_45_298/chukwa-0.4.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
     128       6 |      17        0 |       0       0      71 |      71      105 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/time.js
    1567     313 |      82        2 |       0       5     902 |     907     1172 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/processing.js
    1451     281 |      44       64 |       0       0     880 |     880     1126 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/flexigrid.js
     383      55 |       6        0 |       0       0     210 |     210      322 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/iui.js
      20       0 |      17        1 |       0       2     241 |     243        3 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/jquery-1.3.2.min.js
     433     104 |      74        5 |       0       0     205 |     205      255 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/gsv.js
      12       0 |       6        0 |       0       0     571 |     571        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/treeview-min.js
      13       0 |       7        0 |       0       0     804 |     804        6 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/yahoo-dom-event.js
     460      52 |      12        3 |       0       0     399 |     399      396 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/timeframe.js
     480      59 |     241        0 |       0       0     154 |     154      180 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/ajaxtree.js
     314      15 |      41        1 |       0       0     187 |     187      258 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/flot.extend.js
      58       5 |      24        0 |       0       0      15 |      15       29 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/scriptaculous.js
     275      25 |      15        2 |       0       0     191 |     191      235 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/slider.js
      55       6 |       7        0 |       0       0      23 |      23       42 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/sound.js
    3279     360 |     231       50 |       0       0    2028 |    2028     2688 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/workspace.js
    1122      81 |      25        4 |       0       0     749 |     749     1016 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/effects.js
     974     162 |      27       14 |       0       0     599 |     599      785 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/dragdrop.js
    4170     643 |      71        4 |       0       0    1928 |    1928     3456 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/prototype.js
     965      74 |      87       13 |       0       0     623 |     623      804 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/controls.js
     136      13 |      14        4 |       0       0      63 |      63      109 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/builder.js
     177      12 |      46        1 |       0       0      81 |      81      119 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/workspace/custom_edits.js
     206      15 |      17        3 |       0       0     135 |     135      174 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/activity.js
     236      45 |      15       10 |       0       0     156 |     156      176 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/canvas2image.js
     113      14 |      14        0 |       0       0      67 |      67       85 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/base64.js
    2151     315 |     165       49 |       0       0    1214 |    1214     1671 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/jquery.flot.pack.js
      31       0 |       9        2 |       0       0     268 |     268       22 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.4.0/build/hicc/js/jquery-1.2.6.min.js
