                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              
                               Generated by UCC v.2015.12 on 2 4 2017                               
UCC -nocomplex -nolinks -nodup -ascii -unified -outdir /home/cs578user/Desktop/ArchRecOut/chukwa/chukwa-0._RELAX_java_2017-02-04_12_35_31_932/chukwa-0.6.0.UCC -dir /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0

                               RESULTS FOR ALL NON-WEB LANGUAGE FILES                               

   Total   Blank |      Comments    | Compiler  Data   Exec.  | Logical Physical | File  Module
   Lines   Lines |   Whole Embedded | Direct.   Decl.  Instr. |   SLOC    SLOC   | Type  Name
-----------------+------------------+-------------------------+------------------+---------------------------
     671      80 |      88        5 |       0       0     320 |     320      503 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/heatmap.js
     460      52 |      12        3 |       0       0     399 |     399      396 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/timeframe.js
     480      59 |     241        0 |       0       0     154 |     154      180 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/ajaxtree.js
     328      15 |      57        1 |       0       0     186 |     186      256 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/flot.extend.js
      58       5 |      24        0 |       0       0      15 |      15       29 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/scriptaculous.js
     275      25 |      15        2 |       0       0     191 |     191      235 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/slider.js
      55       6 |       7        0 |       0       0      23 |      23       42 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/sound.js
    3278     360 |     238       50 |       0       0    2022 |    2022     2680 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/workspace.js
    1122      81 |      25        4 |       0       0     749 |     749     1016 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/effects.js
     974     162 |      27       14 |       0       0     599 |     599      785 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/dragdrop.js
    4170     643 |      71        4 |       0       0    1928 |    1928     3456 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/prototype.js
     965      74 |      87       13 |       0       0     623 |     623      804 | CODE /home/cs578user/Desktop/RecProjects/chukwa/chukwa-0.6.0/src/main/web/hicc/js/workspace/controls.js
